[360.0, 90.0]
[0.25, 90.0]
[2.5, 90.0]
[4.3125, 90.0]
[6.25, 90.0]
[8.25, 90.0]
[10.4375, 90.0]
[12.8125, 90.0]
[15.25, 90.0]
[18.1875, 90.0]
[20.875, 90.0]
[23.5, 90.0]
[26.0625, 90.0]
[28.4375, 90.0]
[30.75, 90.0]
[32.9375, 90.0]
[35.3125, 90.0]
[37.6875, 90.0]
[39.5, 90.0]
[41.25, 90.0]
[43.0625, 90.0]
[45.0625, 90.0]
[46.4375, 90.0]
[47.1875, 90.0]
[47.4375, 90.0]
[47.625, 90.0]
[47.75, 90.0]
[47.9375, 90.0]
[48.125, 90.0]
[48.3125, 90.0]
[48.4375, 90.0]
[48.625, 90.0]
[48.8125, 90.0]
[49.3125, 90.0]
[49.875, 90.0]
[50.6875, 90.0]
[52.125, 90.0]
[53.9375, 90.0]
[56.25, 90.0]
[58.75, 90.0]
[61.3125, 90.0]
[64.0625, 90.0]
[66.5625, 90.0]
[69.125, 90.0]
[71.8125, 90.0]
[74.625, 90.0]
[77.625, 90.0]
[80.6875, 90.0]
[83.9375, 90.0]
[86.875, 90.0]
[89.9375, 90.0]
