[359.5, 344.0]
[356.8125, 344.0]
[354.875, 344.0]
[353.0625, 344.0]
[351.625, 344.0]
[350.0625, 344.0]
[348.125, 344.0]
[345.75, 344.0]
[343.25, 344.0]
[342.3125, 347.0]
[345.0, 347.0]
[345.75, 301.0625]
[342.8125, 301.0625]
[340.875, 301.0625]
[339.5, 301.0625]
[338.3125, 301.0625]
[337.3125, 301.0625]
[336.4375, 301.0625]
[335.375, 301.0625]
[334.4375, 301.0625]
[333.5, 301.0625]
[332.5625, 301.0625]
[331.5625, 301.0625]
[330.6875, 301.0625]
[329.9375, 301.0625]
[329.375, 301.0625]
[328.6875, 301.0625]
[328.125, 301.0625]
[327.75, 301.0625]
[327.4375, 301.0625]
[327.0625, 301.0625]
[326.6875, 301.0625]
[326.375, 301.0625]
[326.0, 301.0625]
[325.625, 301.0625]
[325.1875, 301.0625]
[324.75, 301.0625]
[324.375, 301.0625]
[324.0, 301.0625]
[323.6875, 301.0625]
[323.1875, 301.0625]
[322.8125, 301.0625]
[322.375, 301.0625]
[321.9375, 301.0625]
[321.4375, 301.0625]
[321.0, 301.0625]
[320.5625, 301.0625]
[320.1875, 301.0625]
[319.4375, 301.0625]
[318.4375, 301.0625]
[317.4375, 301.0625]
[316.375, 301.0625]
[315.25, 301.0625]
[314.125, 301.0625]
[312.8125, 301.0625]
[311.375, 301.0625]
[310.0, 301.0625]
[308.5, 301.0625]
[306.9375, 301.0625]
[305.25, 301.0625]
[303.25, 301.0625]
[301.4375, 301.0625]
[301.125, 345.5625]
[304.0625, 345.5625]
[306.3125, 345.5625]
[308.0, 345.5625]
[309.5625, 345.5625]
[310.8125, 345.5625]
[312.0625, 345.5625]
[313.125, 345.5625]
[314.3125, 345.5625]
[315.5, 345.5625]
[316.8125, 345.5625]
[318.0625, 345.5625]
[319.375, 345.5625]
[320.9375, 345.5625]
[322.75, 345.5625]
[324.5625, 345.5625]
[326.4375, 345.5625]
[328.5625, 345.5625]
[330.375, 345.5625]
[332.1875, 345.5625]
[333.9375, 345.5625]
[335.5625, 345.5625]
[337.125, 345.5625]
[338.6875, 345.5625]
[340.25, 345.5625]
[341.5, 345.5625]
[342.625, 345.5625]
[343.6875, 345.5625]
